Site,Stand,Plot,Treatment,Ntrt,Ptrt,Species,Al,B,Ca,Fe,K,Mg,Mn,Na,P,S,Sr,Zn,Note,propC,propN,N,CN,Leaf_Number,Mass,Yearcut
HB,HBM,1,NP,1,1,SM,0.0495,0.0306,4.6576,0.0375,3.3518,0.5827,1.7913,0.0194,0.4924,0.6404,0.0179,0.0165,,0.499916323,0.006265431,6.26043126,80.18462081,23,6.66,1970
HB,HBM,1,NP,1,1,WB,0.0174,0.0371,8.008,0.0427,3.4605,1.2394,1.9934,0.0207,0.8356,0.7003,0.0339,0.1697,,0.509542787,0.007237437,7.227437451,70.44302956,27,8.11,1970
HB,HBM,1,NP,1,1,YB,0.0211,0.0445,9.0039,0.0568,4.6592,1.6069,2.755,0.0294,1.7555,0.7755,0.0337,0.1893,,0.507996136,0.009974468,9.984467977,50.99484096,27,4.84,1970
HB,HBM,2,N,1,0,BE,0.0288,0.0183,4.1652,0.0669,4.5907,0.7737,1.195,0.0259,0.3912,0.8919,0.0098,0.0206,,0.505117669,0.009870885,9.870885431,51.27114246,20,3.92,1970
HB,HBM,2,N,1,0,RM,0.0129,0.0357,8.7378,0.0492,1.944,1.4463,2.3313,0.0135,0.2348,0.7295,0.0187,0.0329,,0.499106524,0.005411053,5.386052602,92.4870898,24,5.64,1970
HB,HBM,2,N,1,0,SM,0.0534,0.0402,5.3519,0.0624,2.741,0.5866,2.2803,0.0181,0.241,0.7743,0.0166,0.0229,,0.500262082,0.00685354,6.843539644,73.03685878,22,5.91,1970
HB,HBM,2,N,1,0,WB,0.0211,0.0228,5.169,0.0493,7.6122,0.8651,1.3034,0.0268,0.3332,0.8276,0.0181,0.159,,0.516512327,0.010820398,10.84039825,47.85913701,14,2.86,1970
HB,HBM,2,N,1,0,YB,0.0219,0.03,8.0862,0.0614,2.8143,1.7909,2.8786,0.0263,0.3845,0.7509,0.0269,0.1892,,0.518932546,0.011268422,11.28342215,46.09366777,29,6.48,1970
HB,HBM,3,Control,0,0,BE,0.031,0.0138,5.3189,0.0594,2.2708,0.9898,1.7035,0.0139,0.3042,0.7973,0.0152,0.0199,,0.510140835,0.00799073,8.000729663,63.84073603,27,4.35,1970
HB,HBM,3,Control,0,0,RM,0.0124,0.022,8.8796,0.0409,2.4632,1.2124,1.6158,0.0163,0.2561,0.6894,0.0282,0.0326,,0.498197047,0.004047871,4.027871013,123.6231584,29,9.62,1970
HB,HBM,3,Control,0,0,SM,0.0297,0.0259,6.2439,0.0317,2.7678,0.7819,1.9906,0.0209,0.2384,0.7163,0.027,0.0304,,0.502086412,0.006193727,6.18372653,81.37265973,28,7.93,1970
HB,HBM,3,Control,0,0,WB,0.0325,0.032,6.3244,0.0636,5.1098,1.2694,1.6087,0.017,0.4792,0.8009,0.0233,0.1476,,0.518656942,0.007614265,7.615931419,68.34476632,25,5.86,1970
